Gene name,Function
IMAP2,EC capillary marker
ALCRL,EC capillary marker
MTM8,EC capillary marker
VAMP3,EC capillary marker
EPSTI1,EC capillary marker
MBP,EC capillary marker
SH3BP5,EC capillary marker
PTPRB,EC capillary marker
MIR181A1HG,EC capillary marker
ERG-1,EC capillary marker
HYAL2,EC capillary marker
NASE1,EC capillary marker
ASP,EC capillary marker
TNFAIP1,EC capillary marker
MYCT1,EC capillary marker
YB5A,EC capillary marker
MX1,EC capillary marker
PARP9,EC capillary marker
MCF2L,EC capillary marker
ADCY4,EC capillary marker
D14,EC capillary marker
D200,EC capillary marker
D109,EC capillary marker
SHROOM4,EC capillary marker
EFNA1,EC capillary marker
PITPNM2,EC capillary marker
ACR2B,EC capillary marker
ECSCR,EC capillary marker
MPK2,EC capillary marker
NLRC5,EC capillary marker
AP3M2,EC capillary marker
MGAT4A,EC capillary marker
APOL1,EC capillary marker
TMTC1,EC capillary marker
ALS2CL,EC capillary marker
PAPSS2,EC capillary marker
DDX60,EC capillary marker
ADIRF,EC capillary marker
MT1E,EC capillary marker
TAP1,EC capillary marker
TYMP,EC capillary marker
DENND3,EC capillary marker
FKBP1A,EC capillary marker
IL18R1,EC capillary marker
